insee;X;Y;Weight;obs;pred;random
5776.03;-118.121294;33.771482;1;0.0526;0.00937268616436075;3
9005.01;-118.12183;34.682071;1;-0.102;-0.00202290971675563;6
320.36;-117.658525;33.616772;1;0;0.0046928293581243;3
18.01;-117.982561;33.864664;1;0.002;0.00188181864765578;9
626.38;-117.733279;33.571653;1;0.0658;0.0119593127885596;7
1114;-118.489744;34.258119;1;-0.0121;0.0157954858597669;9
15.04;-117.895468;33.913264;1;-0.0471;0.00178432103365527;7
4601;-118.108972;34.189919;1;-0.001;-0.0176909686419453;6
320.56;-117.622067;33.589284;1;0.0469;-0.00994859853030468;1
4079;-117.927509;34.041708;1;0.002;0.00867279799745599;1
524.18;-117.753922;33.693899;1;0.044;0.00597713689802188;4
5523.02;-118.059092;33.904888;1;0.0169;0.00686283819309153;3
6213.01;-118.382296;33.837109;1;0.0178;0.00802053517513528;9
524.1;-117.71132;33.62876;1;0.0889;0.00578693712018785;10
1325.02;-118.548;34.1893;1;0.0198;0.00243707452361962;4
5544.03;-118.138;33.8761;1;0.0535;0.0132699947600805;1
218.27;-117.730392;33.88587;1;0.045;0.0096987788491457;8
1101.09;-118.020199;33.820633;1;0.157;0.0121607465737765;8
5700.01;-118.122968;33.868134;1;-0.0715;-0.016178786633808;7
626.48;-117.745;33.6036;1;0.0998;0.00928752478814292;5
5424.01;-118.201947;33.895143;1;-0.003;0.00304878672799731;7
7028.03;-118.442358;33.992459;1;0.0344;0.00311786190107855;10
1417;-118.425237;34.137641;1;-0.0161;0.00533758579455399;5
1048.1;-118.411727;34.246989;1;0.0898;-0.00342311779703008;9
2014.01;-118.178212;34.081605;1;0.0198;-0.00488002075007155;8
5433.22;-118.252809;33.847193;1;-0.002;0.00491140045184664;2
761.01;-117.861729;33.790197;1;0.0208;-0.00211481565741883;2
4603.02;-118.166067;34.195684;1;-0.1324;-0.0082863872789991;6
423.15;-117.68404;33.525871;1;-0.0377;-0.000120378163785464;4
2317.2;-118.282984;34.008086;1;-0.004;0.01712756398702;10
5548.01;-118.076816;33.878384;1;0.004;0.00690824087262937;3
4634;-118.112978;34.137524;1;-0.045;0.00356087616156805;9
749.01;-117.879682;33.742087;1;0.145;0.023492569169484;7
7022.01;-118.47;34.0108;1;-0.0823;0.00863258351542407;9
5700.03;-118.137177;33.865832;1;-0.0263;0.0033570161031252;3
631.02;-117.891;33.6623;1;-0.0387;0.00982687079011154;5
1070.1;-118.445596;34.302058;1;-0.0131;0.0132196461569079;4
626.49;-117.748;33.6057;1;0.0237;0.0098001979573609;5
4800.02;-118.088987;34.11515;1;0.0602;-0.0138683517386001;8
320.55;-117.587775;33.636746;1;0.0363;0.00242965194290107;5
1871.02;-118.255417;34.109776;1;0.0402;-0.00581640561161217;7
5706.03;-118.15814;33.859888;1;0.0402;-0.0168494801370215;5
1100.08;-118.075;33.7852;1;-0.002;0.0042870853797111;5
524.24;-117.678503;33.640661;1;0.0159;0.000976306012491954;9
4636.02;-118.140887;34.143639;1;-0.0192;0.00606851624325733;4
756.06;-117.779065;33.745775;1;0.009;0.00629099365530796;5
56;-119.025534;34.20992;1;0.008;0.0113608227919904;4
5426.01;-118.22961;33.906131;1;-0.0111;-0.00237325631837369;2
999.06;-118.035981;33.767265;1;-0.004;0.020704588930029;7
4304;-118.023;34.152;1;-0.1473;0.00344717404195009;6
4824.02;-118.086048;34.04635;1;-0.0305;0.010845409087965;3
744.05;-117.861799;33.749467;1;-0.0131;0.0117973002769303;10
9200.15;-118.532892;34.471406;1;0.0305;-0.00239676402475426;7
995.11;-118.107834;33.741582;1;-0.006;0.0294939921108457;7
1154.04;-118.542;34.221832;1;-0.0171;0.00443141692263195;2
2752;-118.419561;33.992455;1;-0.0566;0.00274160036549461;7
9200.38;-118.452;34.4205;1;-0.003;-0.0115211248849969;1
2756.02;-118.427;33.9741;1;-0.1109;0.00217394718599811;1
1237;-118.408686;34.180059;1;-0.0171;0.00211062510056445;3
4033.19;-117.813;34.0195;1;0.0733;0.00124787958718763;5
992.44;-117.973;33.6608;1;0.1931;0.00230324047121204;9
756.05;-117.764686;33.785527;1;-0.046;0.0118850633502488;5
626.19;-117.753058;33.546387;1;0.0602;0.0117427693314956;2
5507;-118.134367;33.969147;1;-0.1222;0.00624667435087086;5
4611;-118.134392;34.179862;1;0.0188;0.000524674323287883;6
423.13;-117.702299;33.469874;1;0.1062;0.0663699941798938;3
4053.02;-117.943073;34.074566;1;0.0431;0.00589231502166301;8
17.08;-117.955533;33.912853;1;0.0526;0.00986373836509206;1
1837.01;-118.19;34.1067;1;-0.0576;0.00357658593923884;7
2690;-118.404766;34.055265;1;0.0139;0.0121003428834925;9
64;-118.858774;34.222624;1;-0.0284;0.00939984946042385;3
4002.07;-117.773808;34.136823;1;0.01;0.00401942847522429;10
6034;-118.31122;33.89129;1;-0.044;-0.0023074589113823;2
5700.01;-118.117893;33.864191;1;0.0149;0.00153685770731207;6
4058;-117.920792;34.105502;1;0.0208;0.00363405499552343;4
81.01;-118.730297;34.281042;1;0.0363;0.018508045771822;2
218.15;-117.829663;33.912833;1;-0.0398;0.0217005923890842;3
2115;-118.320922;34.069172;1;-0.0284;0.0122958468552613;1
5412;-118.254045;33.909965;1;0.0325;0.000302027531143252;7
9203.29;-118.553236;34.407371;1;-0.045;0.00685683370744585;9
8003.25;-118.808;34.1456;1;0.005;-0.00080934416905678;9
884.03;-117.908158;33.789149;1;0.0178;0.00979657794066729;7
1171.02;-118.456403;34.246759;1;0.0545;0.00405108892457476;1
5513;-118.132;33.9374;1;-0.0212;0.00603260994070597;3
4033.18;-117.76779;34.033263;1;0.0334;-0.00592208893833594;8
71;-118.851283;34.179964;1;0.1222;-6.68406237493033e-05;5
5750.02;-118.140878;33.784472;1;0.0843;-0.0189559231515082;5
5730.03;-118.199369;33.794878;1;-0.0131;-0.00696045760819913;1
9107.07;-118.091387;34.554561;1;0.0139;-0.00192415782815182;7
760;-117.857948;33.786184;1;0.0159;-0.017527731023838;8
5321.02;-118.112575;34.002641;1;0.0286;-0.0122237969112237;8
5435.01;-118.282264;33.835159;1;0.0178;-0.00216415491680698;4
6008.01;-118.318332;33.967531;1;-0.0845;-0.0235372880634785;4
6205.01;-118.365912;33.883004;1;-0.0387;0.00206764622107394;8
4003.04;-117.804623;34.104811;1;-0.007;0.00350565371911666;4
5034.01;-117.986027;33.941392;1;0.0159;0.0144043206009269;10
3109;-118.324845;34.181216;1;-0.0202;-0.00613919146938146;5
1398.01;-118.543714;34.14974;1;0.151;0.0201158344818287;6
4033.19;-117.816;34.0086;1;0.0714;0.00966538477558992;5
28;-119.261609;34.266606;1;0.0807;0.0115291714315641;7
4037.21;-117.863555;34.098993;1;-0.008;0.00367284089747522;6
4339.02;-118.029536;34.05105;1;-0.0954;0.00520837925660098;3
2240.1;-118.26321;34.036348;1;0.0392;-0.00837104511875326;6
80.05;-118.764648;34.259058;1;-0.0212;-0.00967387242074991;6
5723.02;-118.208339;33.812192;1;-0.0233;-0.0116988023509073;4
992.02;-117.932282;33.735177;1;0.0325;0.00522683766980177;7
4061.01;-117.895576;34.090724;1;0.0178;-0.0092582385023002;10
7025.01;-118.391188;34.014833;1;-0.0694;-0.0216199945882979;7
7022.01;-118.479;34.0127;1;-0.0336;0.00950966422308415;1
14.03;-117.917197;33.936166;1;0.063;-0.00031429770449981;8
5320.01;-118.125806;34.008886;1;-0.0243;0.00248127087699029;8
9001.03;-117.809235;34.629192;1;0.0276;0.00992576090447134;3
219.15;-117.809101;33.846411;1;-0.0377;0.0248468377524576;1
1172.01;-118.466914;34.246635;1;0.0611;0.00573376600281261;9
762.01;-117.853898;33.837455;1;-0.0111;0.00999048813119135;5
4301.02;-117.981211;34.13152;1;0.009;0.00189829597483992;6
5527;-118.069886;33.899485;1;0.0296;0.00478828548470712;7
5302.02;-118.1429;34.024462;1;-0.007;-0.0035191100297641;10
5766.01;-118.181;33.7654;1;0.0305;0.00695627178773655;2
9008.03;-118.157221;34.707623;1;-0.1154;-0.0131494375423805;8
6212.01;-118.37855;33.842789;1;-0.0608;0.00305608756669443;7
1437;-118.347633;34.12698;1;0.0998;-0.00296991727581473;5
2654.2;-118.456362;34.072046;1;0.0825;0.0130087698895208;4
6027;-118.316575;33.924802;1;-0.0801;0.000921671757862135;4
524.18;-117.767052;33.698145;1;0.0639;0.00444619025809358;8
5509.02;-118.121289;33.946429;1;-0.0492;-0.0127081853380751;1
219.24;-117.720587;33.862194;1;-0.006;0.0109484602970299;8
525.17;-117.772779;33.671887;1;-0.0182;0.0016908049757626;3
4606;-118.224676;34.23014;1;-0.0429;-0.00588556188434567;10
1240;-118.400802;34.161952;1;0.0411;0.0130897172061054;4
4810.02;-118.122;34.096;1;0.0573;0.015550458468108;5
17.04;-117.962855;33.885755;1;0.0944;0.0136365162875511;7
4814.01;-118.106941;34.082937;1;-0.0377;0.00305828616295925;4
4012.03;-117.845766;34.116126;1;0.002;-0.00770013532179465;5
320.54;-117.598124;33.638558;1;0.006;0.00896545283309262;9
320.59;-117.640884;33.556393;1;0.0188;0.0116636066860172;6
4609;-118.159923;34.172781;1;0.0421;-0.0027543462572445;7
3019;-118.241;34.1533;1;0;0.00124110491013603;1
524.26;-117.719007;33.698438;1;0.0276;0.01982528513927;4
4034.03;-117.840639;34.025099;1;-0.0801;0.00066499635166199;6
218.29;-117.774662;33.888822;1;-0.044;-0.0150998446918867;3
4053.02;-117.944072;34.076342;1;-0.064;0.00180350505260915;2
626.39;-117.734552;33.566687;1;0.0119;0.00547744878496881;2
2321.1;-118.289962;34.001918;1;-0.079;-0.0171429090358534;8
9003;-118.075026;34.694073;1;-0.0222;-0.00230841332858563;3
524.2;-117.772078;33.730913;1;-0.0274;0.0111342122310026;4
5763.01;-118.186548;33.775783;1;-0.1779;0.0120181602635537;2
756.07;-117.788517;33.735954;1;-0.0121;0.0128735655790953;8
9005.06;-118.096;34.6867;1;0.0583;0.0157242353167717;6
751;-117.876785;33.760856;1;0.008;0.0148878396859674;10
114.01;-117.914677;33.881941;1;-0.0419;0.0214838549861605;8
52.04;-119.061347;34.232443;1;0.0276;0.0275121788939348;7
5028.02;-118.069033;33.940998;1;0.0257;0.00382900108316156;10
891.05;-117.913012;33.746757;1;0.0853;0.0057886852398538;3
1831.04;-118.171531;34.123905;1;0.0962;0.00528719235266593;3
1220;-118.419091;34.225084;1;-0.0336;-0.00481934615576662;5
22;-119.292983;34.293766;1;-0.0315;-0.00877259723657387;2
2627.04;-118.535639;34.046872;1;0.1178;0.011487846278761;3
4023.03;-117.754559;34.067268;1;-0.078;-0.00988767864307311;5
1151.01;-118.503383;34.247785;1;-0.044;-0.00995025224701845;2
219.23;-117.724576;33.850853;1;0.0119;0.00625683252854123;2
5307;-118.185134;34.056994;1;-0.0377;0.00688954742162329;3
524.2;-117.770863;33.737114;1;0.0658;0.00979753184252452;5
2656.02;-118.438;34.0598;1;0.0989;-0.00314431865283989;10
6501.01;-118.3166;33.862637;1;-0.0523;-0.0036558444393676;8
6507.01;-118.347;33.837;1;0.0208;0.0137387796257903;3
2657;-118.431;34.0646;1;0.0276;0.0214583705972458;2
9008.03;-118.157073;34.715478;1;0.062;-0.00196761769592362;3
6700.01;-118.319804;33.805747;1;-0.004;0.0043856793483781;2
5003;-118.041498;34.005531;1;0.0843;0.0128736439075955;5
9201.07;-118.564048;34.462464;1;-0.0212;-0.0157953721962005;10
7012.02;-118.489;34.0358;1;-0.1358;0.00761905019506742;3
1101.11;-118.047428;33.828394;1;-0.0683;0.00777262024196889;2
47.17;-119.147672;34.171033;1;0.007;0.00370646202092813;4
1190.01;-118.423488;34.231846;1;0.0178;0.00836727105030514;10
636.01;-117.938476;33.649627;1;-0.0305;-0.000381343204406438;4
53.04;-118.975791;34.229259;1;-0.045;0.00919360248691896;4
320.46;-117.581;33.578037;1;0.1956;0.0248628965102473;6
2291;-118.252942;33.992726;1;0.1914;-0.0011685479726551;7
4033.03;-117.857968;33.996734;1;0.0816;0.00710879799470499;6
43.04;-119.20125;34.178792;1;-0.1244;0.0083257218208954;3
43.04;-119.216597;34.179066;1;-0.007;0.00489531792699695;10
4631.02;-118.090667;34.129397;1;0.1647;0.0261021316718562;2
2170.01;-118.386337;34.050173;1;0.0218;0.0112365252133501;9
9106.01;-118.059306;34.586277;1;0.006;0.0060524575072422;8
4822.01;-118.117266;34.055456;1;-0.0131;-0.0180825005717111;6
5437.02;-118.267;33.8114;1;-0.0356;-0.00420327555169481;5
9.03;-119.239462;34.449818;1;-0.0182;-0.00595689536271084;8
5438.02;-118.265;33.8248;1;0.009;0.00770458303133682;8
7013.02;-118.493;34.0302;1;-0.0419;0.00554852153821471;2
5350.01;-118.251693;33.969522;1;-0.003;0.015738467678389;8
320.28;-117.674;33.6242;1;0.008;0.00390801898276829;3
1871.02;-118.251793;34.111157;1;-0.1887;-0.00482025754940004;3
9200.2;-118.488717;34.461951;1;0.0257;0.00554955794483434;5
3007.01;-118.260497;34.226861;1;0.0344;-0.0199979365717547;2
4011.01;-117.847057;34.126381;1;-0.0253;0.00333861151151736;10
4640;-118.139501;34.131864;1;-0.1912;-0.00463052171191193;6
876.02;-117.948;33.8058;1;-0.0513;0.0106789862559228;2
877.04;-117.95273;33.811031;1;-0.004;0.00237227091902285;4
5519;-118.105467;33.912135;1;0.0188;0.00390234935630894;3
6032;-118.302;33.8684;1;0.0139;0.0115291829764928;5
5341.02;-118.16179;33.973912;1;-0.005;-0.00726259987428003;9
2163;-118.369331;34.062509;1;-0.0683;-0.0200136608681756;4
4076.02;-117.939814;34.030652;1;-0.0243;-0.024936748984137;10
320.47;-117.646;33.6602;1;0.0247;0.00246648959640808;2
9200.42;-118.467;34.4022;1;0.0218;-0.0017080543738347;5
5329;-118.248656;33.978815;1;-0.0471;0.00946612311495914;7
6021.03;-118.35422;33.932907;1;0.1544;0.00568000059455604;6
2413;-118.284152;33.927162;1;-0.0377;0.0127882534862853;1
9200.32;-118.471814;34.44914;1;0.0639;0.021628778171982;3
5547;-118.073755;33.881981;1;0.0129;0.00764534048140743;4
52.03;-119.032196;34.239686;1;-0.0336;0.00173717438785373;3
741.11;-117.894492;33.712437;1;-0.078;0.00355911756461225;4
12.02;-119.18492;34.283595;1;-0.0151;-0.00150193290262829;1
5705.02;-118.17212;33.863038;1;-0.0367;-0.0158489504041063;10
4056;-117.911959;34.082492;1;-0.006;0.00470133469124373;8
5730.03;-118.200025;33.790812;1;0.0257;-0.00254238512610117;4
1112.01;-118.5;34.2726;1;0.0871;0.00383154947378202;7
5751.01;-118.158715;33.78732;1;-0.0305;0.0131902942211619;10
1881;-118.26969;34.133664;1;0.001;0.0218661016065554;10
12.01;-119.153147;34.298424;1;0.0139;0.00119010074408116;9
2951.03;-118.30214;33.763497;1;-0.008;0.00155109977203066;5
2014.02;-118.190215;34.066982;1;-0.0315;0.0100729198270286;7
2622;-118.455188;34.075877;1;-0.0233;0.0013278176216446;5
524.22;-117.671974;33.684694;1;0.002;0.0080347020502945;3
992.2;-117.977658;33.655197;1;0.0564;0.0110467934399447;7
9107.11;-118.059792;34.576311;1;-0.0888;-0.00469795882740166;1
1247;-118.414723;34.160568;1;-0.0243;0.0252938072041216;5
762.06;-117.838537;33.796916;1;0.0296;0.00274995281623175;4
9110.01;-117.901487;34.500892;1;0;0.0077094727744649;5
1251;-118.394;34.1662;1;-0.0576;0.0012610843734566;8
1114;-118.499072;34.259101;1;0.0516;0.00777366412725019;2
3007.02;-118.255575;34.170558;1;0.0198;-0.00836661161888647;8
9100.01;-117.958641;34.572914;1;-0.1087;0.00730014130742125;7
2199.02;-118.366278;34.02791;1;-0.0151;-0.0226759010071944;10
9010.04;-118.203449;34.682891;1;0.0564;-0.000514435118996936;4
7012.01;-118.49541;34.04257;1;0.0411;0.0091246138893284;8
9008.03;-118.155457;34.715794;1;0.002;0.00299899059725092;9
5707.01;-118.153693;33.855646;1;0.0139;0.0166795388215528;1
525.26;-117.786988;33.697506;1;0.0383;0.00278086533396566;1
1371.03;-118.598;34.1723;1;0.003;0.00165735767340222;2
2969.01;-118.298877;33.731254;1;-0.0545;0.0114881605848643;9
626.42;-117.870629;33.604412;1;0.1187;0.0214679854447415;10
1881;-118.267074;34.131219;1;-0.0367;0.005270006374627;10
1397.01;-118.494457;34.160705;1;-0.0523;-0.0158131624649146;5
9203.14;-118.515808;34.393326;1;-0.0121;0.0163025105585366;8
4817.11;-118.117;34.0673;1;0.0149;0.0076648271231201;3
9103.02;-118.234261;34.630423;1;0.0354;0.0181784479051069;4
9200.28;-118.486;34.4454;1;-0.1462;0.00302458895659605;9
2765;-118.413039;33.96265;1;-0.1177;-0.00346077206806357;10
6204;-118.385907;33.898359;1;-0.0429;0.0108453551283592;4
9200.28;-118.486072;34.44075;1;0.005;0.000538532023782072;1
80.02;-118.721544;34.271253;1;0.0516;0.0386368551146035;8
4823.03;-118.097479;34.068304;1;-0.0101;0.0109287986278838;7
5760.01;-118.187;33.7674;1;0.0421;0.00229421042872996;3
885.01;-117.922938;33.768431;1;-0.0182;0.0077820525154009;6
1044.04;-118.42519;34.266744;1;-0.0111;0.00397724136678415;8
1152.02;-118.54458;34.237674;1;-0.0305;0.00721738140165636;10
1287.02;-118.433942;34.162832;1;-0.001;0.0178428929289498;2
21.02;-119.284491;34.282382;1;-0.1043;0.00507438633207854;10
864.02;-117.882385;33.845946;1;-0.006;0.00420157896825806;7
1014;-118.273725;34.237203;1;-0.0315;0.00213949110974146;9
5746.02;-118.10915;33.775671;1;0.0149;0.0106391424218537;5
5545.18;-118.043611;33.863751;1;0.1007;0.0214616521447312;1
3006;-118.24;34.2132;1;0.006;0.00163346005579335;6
60;-118.930325;34.182717;1;0.0573;0.017658653383467;3
421.09;-117.592188;33.446005;1;0.007;0.00961324305701734;8
1438;-118.391;34.1415;1;0.0139;0.00880543417984181;1
4305.02;-118.059772;34.15848;1;0.1293;0.0031870228844512;8
9200.4;-118.430722;34.429263;1;0.0149;3.19751026724891e-05;7
219.22;-117.74009;33.861726;1;0.0266;0.00703294913138268;10
1101.18;-118.049939;33.820108;1;-0.009;0.00620760430744696;4
2655.1;-118.444;34.0551;1;0.0149;0.00517987148009711;9
5776.03;-118.127912;33.770629;1;0.0218;0.0217422527132541;6
1064.05;-118.448;34.319;1;-0.0715;-0.00472642036477137;6
1831.01;-118.18186;34.123061;1;-0.0715;-0.00855540647364561;9
76.13;-118.860147;34.269072;1;-0.0683;0.00731802099300878;6
4300.03;-117.939406;34.1478;1;0.002;0.00357712724710654;1
636.03;-117.948481;33.629573;1;0.1089;0.0209207756902622;10
2077.1;-118.261;34.0458;1;-0.0101;0.00534429533426576;4
3001;-118.232089;34.231475;1;0.0592;0.0221114707151153;10
68;-118.860948;34.197276;1;-0.0715;0.00832009689363114;6
320.28;-117.675;33.6243;1;0.0862;0.00612257554808653;2
36.09;-119.232235;34.182156;1;0.0119;-0.00188436982289385;3
422.05;-117.631576;33.471225;1;0.0286;0.00370194547898378;4
525.25;-117.772542;33.714194;1;-0.002;0.0159247050864458;10
2656.02;-118.438;34.0598;1;0.01;0.00301356856596516;5
639.07;-117.903352;33.695678;1;-0.0274;0.0128271058006716;7
80.04;-118.74804;34.262063;1;0.008;0.00666050176765525;6
2345.01;-118.316933;33.997885;1;0.0257;-0.018768383826478;6
4305.01;-118.043027;34.174383;1;0.0354;-0.00130206825048304;7
421.11;-117.634036;33.450658;1;0.0908;0.0187817443729283;7
3109;-118.330552;34.17873;1;0.0257;-0.0104522267604698;2
1910;-118.326;34.1006;1;0.045;0.00359594759808372;3
5345.01;-118.205415;33.966113;1;0.1275;-0.0150943625228773;1
9102.1;-118.194938;34.619085;1;0.0305;0.00458139690117647;9
4087.05;-117.884645;33.982166;1;0.0363;0.00549456492792844;10
76.14;-118.85169;34.29438;1;0.0286;-0.000212386390076997;10
83.03;-118.686234;34.267766;1;0.0159;0.00812721831337811;1
9001.02;-117.772224;34.592369;1;-0.0566;0.00560116992183482;6
2964.01;-118.313862;33.745035;1;-0.001;0.00904533083004041;3
3009.02;-118.207079;34.148439;1;0.1553;0.0189971484036549;9
883.01;-117.949912;33.798867;1;-0.0419;0.00492285443190854;9
2657;-118.431;34.0646;1;0.0149;0.0174478114897789;7
5542.01;-118.140355;33.882284;1;0.0411;0.000705429585275869;7
1941.02;-118.365688;34.116358;1;0.0751;0.0368837503585879;2
16.01;-117.927428;33.886152;1;-0.0121;0.0166395095484578;10
5730.02;-118.191127;33.795451;1;-0.1649;-0.00293273487919637;7
1240;-118.396428;34.159153;1;-0.0253;0.00396895477053569;5
524.2;-117.770978;33.739876;1;0.0392;0.0186893213632955;9
2395.02;-118.258371;33.969098;1;0.0247;-0.0137247553822176;9
84.01;-118.714741;34.284951;1;-0.009;-0.0003303540791892;4
2628.02;-118.514098;34.04524;1;0.0998;0.00482665647542154;4
525.17;-117.774099;33.669605;1;-0.0111;0.000947721689870283;9
3116;-118.345337;34.14881;1;0.0383;0.0330804127037345;3
320.53;-117.613312;33.622524;1;0.1398;0.00901940414308071;1
5703.03;-118.18908;33.85895;1;-0.0555;0.00323084290371379;6
1111;-118.496064;34.265373;1;-0.046;-0.00122361615102596;2
4635;-118.13;34.1356;1;-0.1244;0.00818300089788334;5
320.47;-117.643754;33.656977;1;0.0383;0.0086332485245989;10
4019.02;-117.719012;34.105713;1;0.1231;0.0194584751633379;6
320.31;-117.648825;33.650302;1;0.0208;0.00383223069148145;3
1021.04;-118.342767;34.211782;1;-0.008;0.00215993426899069;7
994.06;-118.0187;33.723007;1;-0.0398;0.00873846449385295;6
639.03;-117.903056;33.686796;1;0.044;0.00438511154336375;10
5709.01;-118.104378;33.847341;1;0.076;0.00655562048427181;5
5425.02;-118.2245;33.89188;1;0.0478;0.0137735711792334;7
4083.01;-117.992928;34.042705;1;-0.0161;-0.000708645292905586;1
12.04;-119.291146;34.336867;1;0.0751;0.000302633099634043;9
6207.01;-118.378439;33.870244;1;0.0286;0.0068952629795236;7
2766.01;-118.43071;33.96248;1;0.0354;0.0278107804757024;9
2381;-118.305401;33.964298;1;-0.045;0.00703616205150343;1
4641;-118.113246;34.12085;1;0.0159;0.0018648439059813;10
626.04;-117.770544;33.647762;1;0.044;0.0159317486778374;5
9103.01;-118.21814;34.635632;1;0.0334;0.00802365289167868;9
5748;-118.13069;33.787007;1;-0.0274;-0.00240886066535052;7
6030.06;-118.303697;33.890795;1;0.077;0.00465021935390252;4
5015.01;-118.045679;33.99739;1;0.0469;0.0175168849944995;8
13.01;-117.974531;33.919451;1;0.004;0.00672869239224304;6
75.07;-118.792311;34.236414;1;-0.0233;0.0172301902305546;9
6207.02;-118.381068;33.863138;1;0.0129;0.00779881973732195;5
2756.02;-118.429;33.9723;1;0.01;0.00623502381977719;1
626.33;-117.739417;33.586552;1;-0.0294;0.0089543224717421;8
320.2;-117.635101;33.607969;1;-0.004;0.0103445977019607;6
1131.02;-118.562133;34.259364;1;0.0469;0.0100404501953713;8
47.1;-119.152725;34.161525;1;-0.0932;0.00722267990694377;4
9203.34;-118.552567;34.393327;1;0.0208;0.0063065569207008;8
9.01;-119.258791;34.444642;1;0.0169;0.0110422941241756;6
5762;-118.188;33.7725;1;0.0526;0.00931261966556922;7
9103.02;-118.223797;34.629726;1;-0.007;0.00330757212257901;3
1951;-118.26033;34.102679;1;0.1053;-0.0104423947196133;10
993.06;-117.991704;33.671005;1;-0.0161;0.00721322983389934;4
1851;-118.205475;34.107979;1;-0.102;0.000443613560170444;5
9203.31;-118.543803;34.399582;1;-0.0398;0.00349392763699304;5
993.08;-118.024059;33.678035;1;-0.0243;0.0184568881334582;6
9007.01;-118.145662;34.680503;1;0.008;-0.00211382569567336;7
36.09;-119.231474;34.182501;1;-0.1324;-0.0123848993632194;6
423.25;-117.720341;33.516703;1;-0.0111;0.00094385095048862;8
31;-119.174168;34.22462;1;-0.0294;0.00431031576685769;4
1103.01;-118.020451;33.851124;1;-0.0274;0.00756683707170079;1
1896;-118.330511;34.110936;1;0.004;-0.00364782584658586;8
756.05;-117.773181;33.768907;1;0.0459;0.0135621499623574;4
8003.32;-118.784529;34.159204;1;0.0139;-0.000318679402804583;6
50.04;-119.174503;34.244633;1;0.0962;0.0179176644171188;5
61;-118.917555;34.199299;1;-0.007;0.0119257997077899;7
2141;-118.341273;34.069079;1;-0.121;-0.00476834242389376;10
219.05;-117.764922;33.864367;1;-0.0367;0.00236768107200021;9
320.15;-117.685454;33.603298;1;0.0159;-0.00987510033852912;2
992.15;-117.958;33.67271;1;0.0109;0.0157886690117274;3
5720.02;-118.188;33.8212;1;-0.008;0.00985206007577567;1
5776.03;-118.121949;33.76607;1;-0.0523;0.00891069311201396;4
2126.1;-118.31;34.0585;1;0.0227;0.00401769120954391;1
1102.02;-118.0122;33.818999;1;0.0545;0.00379547719962005;6
320.59;-117.641457;33.559082;1;0.0247;0.0118351783539677;2
5412;-118.248246;33.904478;1;-0.0877;0.00738120953665899;1
5435.02;-118.291;33.8451;1;-0.0253;-0.00280307963752547;7
866.02;-117.923554;33.845078;1;-0.1485;-0.0241595431472361;9
9200.42;-118.47454;34.393625;1;-0.0387;0.00173255629088417;9
1974.2;-118.25431;34.087469;1;-0.1416;0.00580977924383326;9
3002;-118.242665;34.233356;1;-0.003;0.00793869993946531;1
1061.12;-118.418673;34.319544;1;0.0139;0.00568686201226649;2
27;-119.233367;34.273578;1;-0.0346;0.00159856722324224;4
320.49;-117.628166;33.663954;1;-0.0141;0.0199067858173315;4
756.07;-117.787488;33.736486;1;0.0658;0.0122239877198917;4
12.02;-119.194186;34.280464;1;-0.005;0.00630528968025297;5
